DATE,ACTUAL,DEV,CONS,seq
07/02/2007 (Jun),56,,55,193
08/01/2007 (Jul),53.8,,55.5,192
09/04/2007 (Aug),52.9,,53,191
10/01/2007 (Sep),52,,52.5,190
11/01/2007 (Oct),50.9,,51.4,189
12/03/2007 (Nov),50.8,,50.5,188
01/02/2008 (Dec),47.7,,50.5,187
02/01/2008 (Jan),50.7,,47.5,186
03/03/2008 (Feb),48.3,,48.5,185
04/01/2008 (Mar),48.6,,47.5,184
05/01/2008 (Apr),48.6,,48,183
06/02/2008 (May),48.9,,48.5,182
07/01/2008 (Jun),49.9,1.07,49,181
08/01/2008 (Jul),50.8,1.53,49.2,180
09/02/2008 (Aug),50.1,0.45,49.8,179
10/01/2008 (Sep),47.2,-15.27,49.5,178
11/03/2008 (Oct),38.2,-1.13,42,177
12/01/2008 (Nov),39,-0.47,37.5,176
01/02/2009 (Dec),34.5,,,175
02/02/2009 (Jan),36.4,1.06,33,174
03/02/2009 (Feb),36.6,0.62,34,173
04/01/2009 (Mar),37.2,0.19,35.7,172
05/01/2009 (Apr),39.9,1.01,38,171
06/01/2009 (May),44.1,0.43,42.2,170
07/01/2009 (Jun),46.3,-2.47,46.8,169
08/03/2009 (Jul),49.7,,,168
09/01/2009 (Aug),53.4,1.66,50.5,167
10/01/2009 (Sep),54.9,-0.83,53.9,166
11/02/2009 (Oct),57.6,1.53,53,165
12/01/2009 (Nov),55.4,-0.69,54.9,164
01/04/2010 (Dec),55.8,0.35,54.2,163
02/01/2010 (Jan),56.3,1.68,55.5,162
03/01/2010 (Feb),55.5,-0.98,58.3,161
04/01/2010 (Mar),58.8,1.23,57.2,160
05/03/2010 (Apr),58.1,0.74,59,159
06/01/2010 (May),57.4,0.42,59,158
07/01/2010 (Jun),56.5,-1.7,59,157
08/02/2010 (Jul),56.1,0.46,54.6,156
09/01/2010 (Aug),56.4,1.87,53,155
10/01/2010 (Sep),55.3,-0.1,54.6,154
11/01/2010 (Oct),56.9,1.47,54,153
12/01/2010 (Nov),57.3,,56.3,152
01/03/2011 (Dec),56.6,1.14,56.9,151
02/01/2011 (Jan),59.1,2.32,57.6,150
03/01/2011 (Feb),59.2,0.52,60.7,149
04/01/2011 (Mar),58.4,0.17,61,148
05/02/2011 (Apr),57.9,0.81,59.5,147
06/01/2011 (May),54.8,-5.09,58.8,146
07/01/2011 (Jun),55.8,1.35,51.5,145
08/01/2011 (Jul),52.9,-1.25,55.1,144
09/01/2011 (Aug),52.6,1.22,48.5,143
10/03/2011 (Sep),53.7,0.52,50.5,142
11/01/2011 (Oct),51.4,-0.13,52.3,141
12/01/2011 (Nov),51.8,0.21,51.6,140
01/03/2012 (Dec),53,-0.04,53.2,139
02/01/2012 (Jan),54.2,-0.24,54.5,138
03/01/2012 (Feb),53.3,-2.81,54.5,137
04/02/2012 (Mar),53.5,0.28,53,136
05/01/2012 (Apr),55.2,0.97,53,135
06/01/2012 (May),53.2,-1.13,53.9,134
07/02/2012 (Jun),49.5,-1.39,52,133
08/01/2012 (Jul),49.6,0.22,50.2,132
09/04/2012 (Aug),49,0.63,50,131
10/01/2012 (Sep),50.8,1.64,49.7,130
11/01/2012 (Oct),50.5,0.37,51.2,129
12/03/2012 (Nov),48,-1.17,51.3,128
01/02/2013 (Dec),50.1,-0.09,50.3,127
02/01/2013 (Jan),53.3,2.32,50.6,126
03/01/2013 (Feb),54.2,1.22,52.5,125
04/01/2013 (Mar),51.9,-2.05,54.1,124
05/01/2013 (Apr),51,-0.1,50.9,123
06/03/2013 (May),50.8,-0.82,50.5,122
07/01/2013 (Jun),51.1,0.2,50.5,121
08/01/2013 (Jul),53.8,2.19,52,120
09/03/2013 (Aug),54,0.82,54,119
10/01/2013 (Sep),54.6,0.72,55,118
11/01/2013 (Oct),54.6,0.87,55,117
12/02/2013 (Nov),55.5,2.33,55,116
01/02/2014 (Dec),56.5,0,57,115
02/03/2014 (Jan),52.5,-6.21,56,114
03/03/2014 (Feb),55,0.48,52,113
04/01/2014 (Mar),55.9,-0.12,54,112
05/01/2014 (Apr),56.6,0.25,54.3,111
06/02/2014 (May),55.7,0,55.4,110
07/01/2014 (Jun),55,-0.24,55.8,109
08/01/2014 (Jul),55.1,1.77,56,108
09/02/2014 (Aug),56.3,3.72,56.8,107
10/01/2014 (Sep),55.7,-2.04,58.5,106
11/03/2014 (Oct),56.2,2.01,56.2,105
12/01/2014 (Nov),56.3,0.52,57.8,104
01/02/2015 (Dec),55.7,-1.3,57.6,103
02/02/2015 (Jan),53.9,-0.49,54.5,102
03/02/2015 (Feb),53,-0.11,53.1,101
04/01/2015 (Mar),52.1,-0.6,52.5,100
05/01/2015 (Apr),51.9,-0.5,52,99
06/01/2015 (May),52.9,1.24,52,98
07/01/2015 (Jun),52.5,0.6,53.1,97
08/03/2015 (Jul),52,-1.25,53.5,96
09/01/2015 (Aug),50.2,-2.14,52.6,95
10/01/2015 (Sep),50.1,-0.48,50.6,94
11/02/2015 (Oct),49.1,0.12,50,93
12/01/2015 (Nov),49.1,-2.53,50.3,92
01/04/2016 (Dec),48.7,-1.19,49,91
02/01/2016 (Jan),47.6,0.3,48,90
03/01/2016 (Feb),49.2,1.45,48.5,89
04/01/2016 (Mar),51,1.19,50.7,88
05/02/2016 (Apr),51,-0.56,51.4,87
06/01/2016 (May),51.4,1.15,50.4,86
07/01/2016 (Jun),52.2,2.64,51.5,85
08/01/2016 (Jul),52.7,-0.52,53,84
09/01/2016 (Aug),49.8,-2.92,52,83
10/03/2016 (Sep),51.1,0.82,50.3,82
11/01/2016 (Oct),51.8,0.13,51.7,81
12/01/2016 (Nov),53.2,0.67,52.2,80
01/03/2017 (Dec),54.4,0.88,53.5,79
02/01/2017 (Jan),55.7,0.69,55,78
03/01/2017 (Feb),57.7,4.58,56,77
04/03/2017 (Mar),56.5,0.41,57,76
05/01/2017 (Apr),55.8,-3.52,56.5,75
06/01/2017 (May),56.4,0.34,54.5,74
07/03/2017 (Jun),56.2,2.29,55.2,73
08/01/2017 (Jul),56.5,-0.14,56.5,72
09/01/2017 (Aug),58.4,1.66,56.5,71
10/02/2017 (Sep),60,1.75,58,70
11/01/2017 (Oct),58.6,-0.72,59.5,69
12/01/2017 (Nov),57.6,-0.14,58.4,68
01/03/2018 (Dec),59.7,1.26,58.1,67
02/01/2018 (Jan),59.4,0.24,58.8,66
03/01/2018 (Feb),60.9,1.98,58.7,65
04/02/2018 (Mar),58.8,-0.64,60,64
05/01/2018 (Apr),58.6,-0.94,58.3,63
06/01/2018 (May),59,0.49,58.1,62
07/02/2018 (Jun),59.9,1.64,58.4,61
08/01/2018 (Jul),58.1,-1.11,59.5,60
09/04/2018 (Aug),60.5,3.05,57.7,59
10/01/2018 (Sep),59.3,-0.27,60.3,58
11/01/2018 (Oct),58.1,-0.74,59,57
12/03/2018 (Nov),58.6,0.92,57.5,56
01/03/2019 (Dec),54.9,-1.94,57.9,55
02/01/2019 (Jan),55.7,0.94,54.2,54
03/01/2019 (Feb),54.4,-0.58,55.5,53
04/01/2019 (Mar),54.9,0.35,54.5,52
05/01/2019 (Apr),53.6,-0.97,55,51
06/03/2019 (May),52.6,-0.41,53,50
07/01/2019 (Jun),51.5,0.43,51,49
08/01/2019 (Jul),51,-0.69,52,48
09/03/2019 (Aug),48.5,-1.7,51,47
10/01/2019 (Sep),48.1,-2.26,50.1,46
11/01/2019 (Oct),48.1,-0.58,48.9,45
12/02/2019 (Nov),48.1,-1.04,49.2,44
01/03/2020 (Dec),47.9,-2.76,49,43
02/03/2020 (Jan),51.4,3.94,48.5,42
03/02/2020 (Feb),50.1,-0.24,50.5,41
04/01/2020 (Mar),49,2.86,45,40
05/01/2020 (Apr),41.8,2.05,36.9,39
06/01/2020 (May),43.5,-0.2,43.6,38
07/01/2020 (Jun),52.6,1.44,49.5,37
08/03/2020 (Jul),53.8,0.27,53.6,36
09/01/2020 (Aug),55.4,0.75,54.5,35
10/01/2020 (Sep),55.5,-0.5,56.3,34
11/02/2020 (Oct),58.7,2.43,55.8,33
12/01/2020 (Nov),57.3,-0.31,58,32
01/05/2021 (Dec),60.2,2.6,56.6,31
02/01/2021 (Jan),59.3,-0.64,60,30
03/01/2021 (Feb),60.8,0.86,58.8,29
04/01/2021 (Mar),63.8,1.59,61.3,28
05/03/2021 (Apr),61,-2.03,65,27
06/01/2021 (May),61.9,0.16,60.7,26
07/01/2021 (Jun),61.1,-0.15,61,25
08/02/2021 (Jul),60,-0.54,60.9,24
09/01/2021 (Aug),59.6,0.52,58.6,23
10/01/2021 (Sep),60.7,0.77,59.6,22
11/01/2021 (Oct),60.4,0.18,60.6,21
12/01/2021 (Nov),60.8,0.09,61,20
01/04/2022 (Dec),58.6,-1.25,60,19
