DateTime,Index
03/31/1993 24:00:00,54.5
04/30/1993 24:00:00,51
05/31/1993 24:00:00,51.5
06/30/1993 24:00:00,52
07/31/1993 24:00:00,45
08/31/1993 24:00:00,51
09/30/1993 24:00:00,49
10/31/1993 24:00:00,55.5
11/30/1993 24:00:00,56.5
12/31/1993 24:00:00,54.5
01/31/1994 24:00:00,58
02/28/1994 24:00:00,56.5
03/31/1994 24:00:00,56.5
04/30/1994 24:00:00,61.5
05/31/1994 24:00:00,61.5
06/30/1994 24:00:00,60
07/31/1994 24:00:00,59.5
08/31/1994 24:00:00,60.5
09/30/1994 24:00:00,60.5
10/31/1994 24:00:00,60.5
11/30/1994 24:00:00,58
12/31/1994 24:00:00,53.5
01/31/1995 24:00:00,54
02/28/1995 24:00:00,55
03/31/1995 24:00:00,51
04/30/1995 24:00:00,47.5
05/31/1995 24:00:00,42
06/30/1995 24:00:00,36
07/31/1995 24:00:00,41.5
08/31/1995 24:00:00,40.5
09/30/1995 24:00:00,43.5
10/31/1995 24:00:00,40.5
11/30/1995 24:00:00,41.5
12/31/1995 24:00:00,42
01/31/1996 24:00:00,41.5
02/29/1996 24:00:00,43.5
03/31/1996 24:00:00,40
04/30/1996 24:00:00,44
05/31/1996 24:00:00,48.5
06/30/1996 24:00:00,51
07/31/1996 24:00:00,47.5
08/31/1996 24:00:00,47
09/30/1996 24:00:00,49.5
10/31/1996 24:00:00,44.5
11/30/1996 24:00:00,49
12/31/1996 24:00:00,51
01/31/1997 24:00:00,45.5
02/28/1997 24:00:00,48.5
03/31/1997 24:00:00,51.5
04/30/1997 24:00:00,54
05/31/1997 24:00:00,58
06/30/1997 24:00:00,53.5
07/31/1997 24:00:00,56.5
08/31/1997 24:00:00,60
09/30/1997 24:00:00,50
10/31/1997 24:00:00,56.5
11/30/1997 24:00:00,50
12/31/1997 24:00:00,52
01/31/1998 24:00:00,47
02/28/1998 24:00:00,48
03/31/1998 24:00:00,51.5
04/30/1998 24:00:00,52.5
05/31/1998 24:00:00,48.5
06/30/1998 24:00:00,48.5
07/31/1998 24:00:00,44.5
08/31/1998 24:00:00,48.5
09/30/1998 24:00:00,46
